Date,FinalPrice,Change,KL_auction,GT_auction,KL_deal,GT_deal,OpenPrice,MaxPrice,MinPrice
17/04/2020,52.16,0.62 (1.21 %),"34,870,001","321,155,687,800","897,05","16,982,810,000",51.53,52.33,51.53
16/04/2020,51.54,0.02 (0.05 %),"16,067,498","195,575,767,900","550,387","30,442,422,100",51.48,51.59,51.22
15/04/2020,51.51,0.73 (1.44 %),"19,404,685","256,499,307,600","1,065,463","26,983,398,200",50.78,51.69,50.77
14/04/2020,50.78,-0.08 (-0.15 %),"17,145,048","225,145,016,700","783,1","9,349,070,000",50.86,51.12,50.37
13/04/2020,50.86,0.23 (0.45 %),"14,438,841","166,535,196,400","490,308","7,086,673,000",50.63,51.11,50.55
10/04/2020,50.63,-0.11 (-0.21 %),"19,755,524","177,127,167,200","1,271,440","34,695,536,000",50.77,50.80,50.38
09/04/2020,50.74,0.43 (0.86 %),"17,550,584","211,043,934,900","1,122,214","28,095,899,000",50.31,51.11,50.26
08/04/2020,50.31,-0.12 (-0.24 %),"10,950,079","134,337,310,500","334,261","15,488,264,300",50.43,50.63,50.04
07/04/2020,50.43,0.10 (0.19 %),"13,991,554","179,903,170,900","816,774","17,798,570,400",50.33,50.71,50.12
06/04/2020,50.33,1.20 (2.43 %),"17,817,924","225,492,097,100","1,366,759","161,333,760,900",49.13,50.34,49.13
03/04/2020,49.14,0.51 (1.05 %),"15,411,357","163,800,392,000","3,568,814","53,309,870,000",48.63,49.28,48.61
01/04/2020,48.63,0.89 (1.86 %),"10,224,938","88,518,930,700","18,131,979","286,800,798,500",47.74,48.67,47.56
31/03/2020,47.74,0.11 (0.22 %),"10,107,843","112,258,183,800","3,682,940","88,353,438,000",47.63,48.46,47.49
30/03/2020,47.63,-1.19 (-2.43 %),"12,903,768","121,028,631,300","2,728,785","78,518,276,600",48.81,48.82,47.50
27/03/2020,48.82,-0.18 (-0.38 %),"11,121,099","96,839,788,700","4,382,460","62,618,117,136",49.00,49.23,48.66
26/03/2020,49.00,-0.53 (-1.06 %),"10,522,828","132,077,985,500","10,608,737","177,142,100,500",49.53,49.58,48.88
25/03/2020,49.53,1.02 (2.10 %),"12,572,782","160,133,277,300","5,246,258","126,444,109,400",48.51,49.54,48.49
24/03/2020,48.51,0.95 (1.99 %),"11,483,679","140,172,167,000","5,097,500","51,242,180,000",47.57,48.54,47.49
23/03/2020,47.57,-2.28 (-4.58 %),"27,813,298","269,468,144,100","1,162,476","18,063,102,000",49.85,49.85,47.41
20/03/2020,49.85,-0.05 (-0.11 %),"16,898,585","137,742,838,100","2,233,749","96,587,293,100",49.90,50.05,49.60
