Date,FinalPrice,Change,KL_auction,GT_auction,KL_deal,GT_deal,OpenPrice,MaxPrice,MinPrice
17/04/2020,789.60,8.90 (1.14 %),"259,215,800","4,188,762,900,000","33,733,042","989,262,122,500",786.96,790.95,783.74
16/04/2020,780.70,3.48 (0.45 %),"210,855,960","3,023,449,000,000","33,293,450","941,821,124,590",773.11,781.06,770.91
15/04/2020,777.22,9.81 (1.28 %),"246,931,990","3,365,079,650,000","46,621,950","1,209,305,690,300",768.05,779.52,768.01
14/04/2020,767.41,1.62 (0.21 %),"220,987,900","3,344,675,000,000","35,954,732","623,564,957,100",769.01,769.53,753.85
13/04/2020,765.79,7.85 (1.04 %),"192,714,420","3,052,595,000,000","34,080,827","1,167,934,653,200",762.99,774.62,757.94
10/04/2020,757.94,-2.39 (-0.31 %),"288,523,650","3,257,547,000,000","42,584,774","802,418,419,800",759.08,764.36,751.59
09/04/2020,760.33,12.31 (1.65 %),"264,010,370","3,720,286,000,000","26,151,877","609,668,431,150",751.08,765.87,748.02
08/04/2020,748.02,1.33 (0.18 %),"197,089,400","2,829,304,000,000","48,447,890","899,629,775,200",740.03,748.36,730.12
07/04/2020,746.69,9.94 (1.35 %),"270,016,090","4,114,709,000,000","13,312,640","454,500,170,700",744.97,749.13,730.28
06/04/2020,736.75,34.95 (4.98 %),"294,808,670","3,776,470,000,000","25,635,168","625,902,814,850",716.22,736.75,701.80
03/04/2020,701.80,21.57 (3.17 %),"189,031,820","2,654,035,000,000","30,647,886","664,855,743,500",687.92,701.80,680.23
01/04/2020,680.23,17.70 (2.67 %),"196,877,180","2,112,750,000,000","61,849,516","1,522,203,139,500",658.80,684.96,657.41
31/03/2020,662.53,0.27 (0.04 %),"219,653,380","2,542,140,000,000","28,792,158","761,105,961,150",669.74,678.64,649.10
30/03/2020,662.26,-33.80 (-4.86 %),"186,661,120","2,390,291,490,000","36,753,418","934,762,274,300",663.91,665.56,657.36
27/03/2020,696.06,1.85 (0.27 %),"201,217,090","2,853,346,000,000","107,763,430","1,188,828,163,380",692.54,703.22,682.52
26/03/2020,694.21,3.96 (0.57 %),"162,568,840","2,676,537,000,000","47,624,070","1,233,432,479,500",689.00,700.76,680.10
25/03/2020,690.25,31.04 (4.71 %),"203,649,540","3,060,186,000,000","55,929,650","1,665,101,781,600",669.76,690.25,659.21
24/03/2020,659.21,-7.38 (-1.11 %),"201,483,240","3,002,382,000,000","28,994,667","973,955,612,180",666.59,666.59,652.27
23/03/2020,666.59,-43.14 (-6.08 %),"215,575,310","3,166,471,000,000","54,855,135","1,508,087,836,900",694.77,709.73,664.23
20/03/2020,709.73,-16.21 (-2.23 %),"191,037,210","3,115,588,000,000","31,435,153","908,162,370,400",728.55,729.35,709.73
