Date,FinalPrice,Change,KL_auction,GT_auction,KL_deal,GT_deal,OpenPrice,MaxPrice,MinPrice
24/03/2020,659.21,-7.38 (-1.11 %),"201,483,240","3,002,382,000,000","28,994,667","973,955,612,180",666.59,666.59,652.27
23/03/2020,666.59,-43.14 (-6.08 %),"215,575,310","3,166,471,000,000","54,855,135","1,508,087,836,900",694.77,709.73,664.23
20/03/2020,709.73,-16.21 (-2.23 %),"191,037,210","3,115,588,000,000","31,435,153","908,162,370,400",728.55,729.35,709.73
19/03/2020,725.94,-21.72 (-2.91 %),"299,318,150","3,237,963,000,000","17,462,925","545,626,242,500",732.35,747.66,714.02
18/03/2020,747.66,1.88 (0.25 %),"196,989,710","2,880,143,000,000","49,021,837","1,259,351,970,000",747.40,752.65,742.12
17/03/2020,745.78,-2.08 (-0.28 %),"194,484,800","3,050,048,000,000","75,906,461","1,067,394,819,170",724.07,750.03,721.84
16/03/2020,747.86,-13.92 (-1.83 %),"214,087,850","3,084,410,410,000","67,049,567","1,299,833,973,250",758.28,758.59,737.58
13/03/2020,761.78,-7.47 (-0.97 %),"272,120,840","4,272,534,000,000","62,999,540","1,718,016,540,000",750.56,769.25,723.42
12/03/2020,769.25,-42.10 (-5.19 %),"300,321,120","4,318,451,000,000","25,480,605","715,879,875,390",778.06,811.35,762.12
11/03/2020,811.35,-26.15 (-3.12 %),"267,076,050","4,068,160,910,000","36,112,330","1,228,868,286,500",843.52,844.94,794.54
10/03/2020,837.50,2.01 (0.24 %),"230,832,850","3,608,198,050,000","38,738,402","916,389,525,500",813.83,843.28,806.63
09/03/2020,835.49,-55.95 (-6.28 %),"263,053,320","4,288,995,000,000","34,348,653","1,121,811,734,050",875.80,891.44,834.67
06/03/2020,891.44,-1.87 (-0.21 %),"167,947,850","2,592,707,000,000","34,267,314","876,153,109,930",888.96,893.31,882.71
05/03/2020,893.31,3.94 (0.44 %),"203,361,170","2,907,524,000,000","21,546,849","598,202,568,600",892.71,898.43,889.37
04/03/2020,889.37,-1.24 (-0.14 %),"187,504,950","2,628,219,000,000","39,561,436","1,094,636,570,300",887.85,890.61,882.83
03/03/2020,890.61,6.18 (0.70 %),"170,679,850","2,904,778,000,000","34,043,992","937,513,569,200",895.39,896.39,884.43
02/03/2020,884.43,2.24 (0.25 %),"167,380,280","2,769,295,000,000","30,070,672","693,785,945,260",878.43,886.45,877.31
28/02/2020,882.19,-16.25 (-1.81 %),"177,524,420","3,207,604,000,000","55,130,720","1,474,946,141,900",885.47,898.44,872.46
27/02/2020,898.44,2.47 (0.28 %),"127,837,480","2,623,634,000,000","26,152,818","785,602,036,600",892.15,899.34,889.14
26/02/2020,895.97,-13.70 (-1.51 %),"124,900,000","2,587,353,750,000","9,751,390","250,618,505,400",901.51,903.27,894.25
